top - 11:16:45 up 43 min,  1 user,  load average: 0.50, 0.50, 0.4
Tasks: 366 total,   2 running, 364 sleeping,   0 stopped,   0 zom
%Cpu(s): 11.7 us,  3.6 sy,  0.0 ni, 84.7 id,  0.0 wa,  0.0 hi,  0
MiB Mem :   7943.5 total,   4115.8 free,   1437.1 used,   2390.6 
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   6104.6 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM
     30 root      20   0       0      0      0 S   0.0   0.0
     32 root       0 -20       0      0      0 I   0.0   0.0
     33 root      20   0       0      0      0 S   0.0   0.0
     34 root     -51   0       0      0      0 S   0.0   0.0
     35 root      rt   0       0      0      0 S   0.0   0.0
     36 root      20   0       0      0      0 S   0.0   0.0
     37 root      20   0       0      0      0 I   0.0   0.0
     38 root       0 -20       0      0      0 I   0.0   0.0
     39 root      20   0       0      0      0 S   0.0   0.0
     40 root     -51   0       0      0      0 S   0.0   0.0
     41 root      rt   0       0      0      0 S   0.0   0.0
     42 root      20   0       0      0      0 S   0.0   0.0
     45 root      20   0       0      0      0 S   0.0   0.0
     46 root     -51   0       0      0      0 S   0.0   0.0
     47 root      rt   0       0      0      0 S   0.0   0.0
     48 root      20   0       0      0      0 S   0.0   0.0
     50 root       0 -20       0      0      0 I   0.0   0.0
     51 root      20   0       0      0      0 S   0.0   0.0
     52 root     -51   0       0      0      0 S   0.0   0.0
     53 root      rt   0       0      0      0 S   0.0   0.0
     54 root      20   0       0      0      0 S   0.0   0.0
     55 root      20   0       0      0      0 I   0.0   0.0
     56 root       0 -20       0      0      0 I   0.0   0.0
     57 root      20   0       0      0      0 S   0.0   0.0
     58 root     -51   0       0      0      0 S   0.0   0.0
     59 root      rt   0       0      0      0 S   0.0   0.0
     60 root      20   0       0      0      0 S   0.0   0.0
     61 root      20   0       0      0      0 I   0.0   0.0
     64 root      20   0       0      0      0 S   0.0   0.0
     65 root       0 -20       0      0      0 I   0.0   0.0
     67 root      20   0       0      0      0 S   0.0   0.0
     68 root      20   0       0      0      0 S   0.0   0.0
     69 root      20   0       0      0      0 S   0.0   0.0
     71 root       0 -20       0      0      0 I   0.0   0.0
     72 root      20   0       0      0      0 S   0.0   0.0
     73 root      20   0       0      0      0 S   0.0   0.0
     74 root      25   5       0      0      0 S   0.0   0.0
     76 root      39  19       0      0      0 S   0.0   0.0
     77 root       0 -20       0      0      0 I   0.0   0.0
     78 root       0 -20       0      0      0 I   0.0   0.0
     79 root       0 -20       0      0      0 I   0.0   0.0
     81 root       0 -20       0      0      0 I   0.0   0.0
     82 root       0 -20       0      0      0 I   0.0   0.0
     83 root       0 -20       0      0      0 I   0.0   0.0
     84 root       0 -20       0      0      0 I   0.0   0.0
     85 root       0 -20       0      0      0 I   0.0   0.0
     86 root       0 -20       0      0      0 I   0.0   0.0
     87 root     -51   0       0      0      0 S   0.0   0.0
     88 root      20   0       0      0      0 I   0.0   0.0
     93 root       0 -20       0      0      0 I   0.0   0.0
     94 root      20   0       0      0      0 S   0.0   0.0
     95 root      20   0       0      0      0 S   0.0   0.0
